Birth Year, Exposure 1.5°C, Std.dev 1.5°C, Exposure 2.5°C, Std.dev 2.5°C, Exposure 3.5°C, Std.dev 3.5°C
1960, 2.940693356166862, 1.1129284318128747, 2.969915977958272, 0.6124904542327165, 3.11957937709684, 0.9473729504860949
1961, 3.006959443931519, 1.1138412374756925, 3.107028308190796, 0.678765060669361, 3.1518392177625327, 0.9463559618677931
1962, 3.073225442289208, 1.1160698534368207, 3.36329839033708, 0.7706323996432348, 3.3049141086751668, 1.0275704614127361
1963, 3.1400350531259225, 1.1198650800896897, 3.5326984035743485, 0.8766455679452498, 3.516598686228936, 1.017020128280248
1964, 3.2251415288322947, 1.149539355827875, 3.738513525506143, 0.9745733254094163, 3.751210621590439, 1.0089901073726213
1965, 3.36646903173686, 1.1386404396206462, 3.9037903166405337, 1.0134757008061395, 3.9770493510160745, 1.0273943491407882
1966, 3.5510713355427757, 1.0951448367855643, 3.958725902844944, 1.01518443715004, 4.199632578244344, 1.1188207675639574
1967, 3.816687010344603, 1.1303790937615514, 4.05327052258724, 1.050250984417329, 4.484854845091507, 1.1878875843119407
1968, 4.046618744526467, 1.2060106716653436, 4.220291687448711, 1.156683950786425, 4.6556920091418075, 1.2257483594455474
1969, 4.181432437425066, 1.276004276320135, 4.445377417885581, 1.162168570070647, 4.859234720499868, 1.16632279058428
1970, 4.306045754684017, 1.3431429221047875, 4.647032709715573, 1.1580362884038515, 4.964327728728718, 1.2050053472317332
1971, 4.473154640453263, 1.4311341479662611, 4.896497607768146, 1.1897578528686077, 5.14009776174428, 1.2976898070796095
1972, 4.602772948714111, 1.5037511905374996, 5.2781983357546345, 1.197231851370671, 5.476351261000819, 1.2665763051262193
1973, 4.740211850838055, 1.5665189862724644, 5.509966563306814, 1.2328416887979254, 5.862701593178762, 1.3264635972378025
1974, 4.844777472221491, 1.595811214495959, 5.739113878324937, 1.3175471728600918, 6.008985923808252, 1.3490398167129012
1975, 5.000333343286247, 1.5833817104433676, 5.950547385504473, 1.4138743876220832, 6.376934075443942, 1.3639585219472792
1976, 5.17723480802882, 1.5868049966479192, 6.21499023076413, 1.5024353968016708, 6.9551944524438944, 1.484151038168676
1977, 5.293432092480268, 1.5637262187304035, 6.469726032306849, 1.5614779264023138, 7.284829939955845, 1.6107138178807099
1978, 5.400044243917328, 1.5432417319546954, 6.672078750793299, 1.6229608428414177, 7.467130147836288, 1.676479716356297
1979, 5.531003566956489, 1.5427978461090222, 7.030909854012947, 1.7010521708775987, 7.9337814008448735, 1.5649716581300077
1980, 5.703976892197843, 1.5727910318933889, 7.345003524485996, 1.7680977302523646, 8.4019935848088, 1.5861590947619464
1981, 5.864619837367934, 1.6079075532281286, 7.568292506812075, 1.7344402639695664, 8.861992871121714, 1.734330811403464
1982, 5.982225955857773, 1.6232901967714584, 7.919517534031682, 1.7045795683074718, 9.544958282754557, 1.8895048415381877
1983, 6.05506169569597, 1.6260701301666711, 8.044254290704654, 1.7563642040498424, 10.026083740073918, 2.061082985156562
1984, 6.164057278740575, 1.6470972210271324, 8.19390572355262, 1.8216389637183064, 10.27278169351429, 2.1124138124403142
