Birth Year, Exposure 1.5°C, Std.dev 1.5°C, Exposure 2.5°C, Std.dev 2.5°C, Exposure 3.5°C, Std.dev 3.5°C
1960, 3.851023223607437, 1.0656223274717782, 3.5259342360334367, 1.083825949011361, 3.809216344002626, 1.0055560565865833
1961, 3.8633310577480127, 1.0464195863155021, 3.577495841193464, 1.100734365243108, 3.797556074021462, 1.0153843645299032
1962, 3.8482385174760516, 1.0255785933355097, 3.5814522521392504, 1.1042787805802916, 3.797034468715286, 1.0126740226907567
1963, 3.84310519292296, 1.0012234507829438, 3.575033420801694, 1.0992752155051801, 3.869186461194241, 1.044938656335941
1964, 3.8645325032994693, 0.9710592445139135, 3.5642838790595386, 1.0853259975445233, 3.8745685645226655, 1.03229554701279
1965, 3.882995050464897, 0.9570042404208241, 3.5513994749492745, 1.0715582915690918, 3.887527008690265, 1.046472314659941
1966, 3.942225486625353, 0.9761175235080439, 3.58967874952718, 1.092799600627185, 3.9373733009993193, 1.0630171022373385
1967, 3.8744698668003816, 0.9087937259301244, 3.499832884859997, 1.0200499893061, 3.890420750561733, 0.9842472223006241
1968, 3.888708261222395, 0.901699282551148, 3.518446839216766, 1.0160066573993467, 3.901999229311507, 0.9706156995343009
1969, 3.9222758178808985, 0.8488999768521366, 3.616923081556698, 1.0071141981368337, 3.8897109533000482, 0.942532404737256
1970, 4.015108182390543, 0.8392975678318811, 3.72491021646711, 1.0226975642063096, 3.978055814837029, 0.9425405571499964
1971, 4.034786886309313, 0.7986772620391167, 3.6974397946509066, 0.9773143046233647, 4.09369289145737, 0.920655780274792
1972, 4.077804405910845, 0.8013410996385006, 3.67512465037012, 0.9825390050815879, 4.119652791507911, 0.9178104267832672
1973, 4.0986520821819346, 0.8057875683196005, 3.6973675293241497, 1.0108172225087069, 4.111750212801941, 0.9096639309158913
1974, 4.135125808409714, 0.7993846461517495, 3.801091404136373, 1.0535225404805793, 4.173748056164635, 0.9183518427212389
1975, 4.157745296142192, 0.7979285487038738, 3.868580728410911, 1.0621754043229221, 4.23117266377402, 0.9128008637263126
1976, 4.208679687278418, 0.8202732994706657, 3.9857273592329556, 1.055532104965485, 4.306766663405214, 0.9294801984520518
1977, 4.2611618210190905, 0.8450761499919381, 4.0377366306304925, 1.049767709611029, 4.403408616174782, 0.9892179896350253
1978, 4.290033842786072, 0.863985720194144, 4.059328436091805, 1.047436006570668, 4.438402588569208, 0.9949054013651251
1979, 4.295050628529877, 0.8804621933861897, 4.086012428095853, 1.0477440489288434, 4.3896533498041475, 0.9937419665387988
1980, 4.305771320986096, 0.8815805168179585, 4.132013109867179, 1.024552381860372, 4.382782266327866, 0.9578161025962632
1981, 4.348143901166277, 0.9184470366795782, 4.156299667340614, 1.033427806776466, 4.40583803112555, 0.9528588128535844
1982, 4.3970129018603235, 0.9552195475173759, 4.180426862459714, 1.0596959717723113, 4.457755023584084, 0.9670750447008721
1983, 4.451150214876076, 0.9924329689338881, 4.30818016240408, 1.0612719617152955, 4.545287202310078, 1.0057456937885272
1984, 4.438647836300566, 1.0046262003080373, 4.385615844039774, 1.0343990331596467, 4.552393727115451, 1.0182360559171546
1985, 4.4440712268157085, 1.0174060610283862, 4.4846956449819375, 1.0361498229859685, 4.606478827010385, 1.0320049104454578
1986, 4.491831422240655, 1.0496325922930767, 4.6023723199036635, 1.0796972421779392, 4.652420579081549, 1.0399832765847916
1987, 4.537863380836424, 1.0858436351138296, 4.6977073186025144, 1.128097706002289, 4.702058058280723, 1.0711187981042376
1988, 4.549325251380962, 1.101835001156951, 4.741449067840157, 1.1488098303093521, 4.812948734925611, 1.1578769197730463
